"rules","support","confidence","lift","count","LHS_Support","RHS_Support"
"{ADD VANILLA FLAVOUR           } => {CAFFE LATTE                   }",0.000571575547998057,0.8,26.7234367541766,40,0.000714469434997571,0.0299362693263982
"{ADD CARAMEL FLAVOUR           } => {CAFFE LATTE                   }",0.000628733102797862,0.63768115942029,21.3012901663727,44,0.000985967820296648,0.0299362693263982
"{BUTTERED TOASTS               } => {KHEEMA GHOTALA                }",0.000685890657597668,0.461538461538462,101.890803203106,48,0.00148609642479495,0.0045297362178846
"{ADD HERB ROAST CHICKEN        } => {LEMON INFUSED CHAR GRILLED VEG}",0.00104312537509645,0.464968152866242,79.3643933509399,73,0.00224343402589237,0.00585864936698008
"{ADD HERB ROAST CHICKEN        } => {ORANGE ARRABIATA              }",0.000728758823697522,0.32484076433121,45.9252653927813,51,0.00224343402589237,0.00707324740647595
"{ADD HAZELNUT FLAVOUR          } => {CAFFE LATTE                   }",0.00161470092309451,0.545893719806763,18.2351953696978,113,0.00295790346088994,0.0299362693263982
"{ADD HAZELNUT FLAVOUR          } => {CAPPUCCINO                    }",0.00137178131519534,0.463768115942029,5.93551943852507,96,0.00295790346088994,0.0781343774113343
"{3 RED BULL                    } => {NIRVANA HOOKAH SINGLE         }",0.000743048212397474,0.209677419354839,1.7491530768018,52,0.00354376839758795,0.119873681803892
"{VANILLA ICECREAM              } => {GREAT LAKES SHAKE                   }",0.00124317681689577,0.412322274881517,5.92386315761821,87,0.00301506101568975,0.0696036123574633
"{FRENCH FRIES                  } => {B.M.T. PANINI                 }",0.00101454659769655,0.265917602996255,7.14374114889977,71,0.00381526678288703,0.0372238575633734
"{TRADITIONAL ITALIAN CRUSTINI  } => {ADD FRIES                     }",0.000843073933297134,0.223484848484848,20.7977615248227,59,0.00377239861678717,0.0107456203023635
"{QUA  MINERAL WATER(500ML)     } => {NIRVANA HOOKAH SINGLE         }",0.00240061730159184,0.201680672268908,1.68244329559217,168,0.0119030607870595,0.119873681803892
"{ADD FRIES                     } => {B.M.T. PANINI                 }",0.00215769769369266,0.200797872340426,5.39433270715073,151,0.0107456203023635,0.0372238575633734
"{RED BULL 2+1                  } => {SAMBUCA                       }",0.00414392272298591,0.248500428449015,3.93184648060568,290,0.0166757166128433,0.0632019662198851
